ID,nombre,flag_code,tipoActividad_code,fechaInicio,fechaFin,dueDate,descripcion
actividad-001,"Definición de alcance Sprint 1",flag-002,tipoActividad-001,2025-01-20,2025-02-10,2025-02-05,"Reunir requerimientos y definir historias de usuario para el primer sprint"
actividad-002,"Configuración ambiente de Desarrollo",flag-001,tipoActividad-002,2025-01-25,2025-02-03,2025-02-01,"Instalar y parametrizar instancias SAP S/4HANA para el equipo"
actividad-003,"Carga inicial de datos maestros",flag-003,tipoActividad-002,2025-02-05,2025-02-20,2025-02-18,"Extraer y transformar datos para la migración inicial"
actividad-004,"Diseño prototipo de interfaz",flag-004,tipoActividad-001,2025-02-08,2025-02-25,2025-02-22,"Crear wireframes y mock-ups para aprobación de UX"
actividad-005,"Pruebas integradas Sprint 1",flag-002,tipoActividad-003,2025-02-12,2025-02-28,2025-02-26,"Ejecutar casos de prueba end-to-end y documentar defectos"
actividad-006,"Capacitación usuarios clave",flag-003,tipoActividad-004,2025-03-02,2025-03-06,2025-03-05,"Entrenar usuarios en procesos core y nuevos flujos de SAP"
actividad-007,"Ejecución Cut-Over",flag-001,tipoActividad-003,2025-04-28,2025-05-02,2025-04-30,"Realizar pasos de transición al entorno productivo"
actividad-008,"Soporte post Go-Live – Semana 1",flag-002,tipoActividad-003,2025-05-03,2025-05-10,2025-05-10,"Monitorear incidencias y asegurar estabilización inicial"
actividad-009,"Análisis de performance y optimización",flag-004,tipoActividad-002,2025-05-15,2025-05-25,2025-05-23,"Evaluar tiempos de respuesta y ajustar configuraciones"
actividad-010,"Cierre administrativo del proyecto",flag-003,tipoActividad-001,2025-06-05,2025-06-12,2025-06-11,"Completar entregables, actas de aceptación y archivo documental"
