ID,estado_ID,evento_ID,descripcion,fechaInicio,fechaFin,fechaCorte,prioridad_ID,createdAt,createdBy,modifiedAt,modifiedBy
90f65f52-7dab-4fbf-8179-f9011f64c185,3b17def2-9d28-4988-a2b2-c86262b11ce1,18302ef1-7e02-45cc-9831-f4f825b82c59,Error en integración con SuccessFactors,2025-07-02,2025-07-05,2025-07-07,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,2025-06-30T00:00:00Z,ana.lopez,2025-07-02T00:00:00Z,carlos.ramos
0f06bdfa-3832-4b91-b75c-c150bb687b60,180f218d-2e17-4de4-bda0-6e7e889015c3,a5e6497e-1b19-40b7-b6f6-31be04e54855,Cliente reporta fallo en facturación,2025-07-04,2025-07-06,2025-07-07,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,2025-07-03T00:00:00Z,maria.zapata,2025-07-04T00:00:00Z,carlos.ramos
e8c6204b-2d92-44f3-a828-6a8dc6aedc30,3b17def2-9d28-4988-a2b2-c86262b11ce1,b974798b-e5a8-440d-a978-f7f7a571c835,Sistema no permite cierre de mes,2025-07-06,2025-07-08,2025-07-09,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,2025-07-03T00:00:00Z,juan.garcia,2025-07-05T00:00:00Z,carlos.ramos
28a3f5c0-de24-4f35-b5cf-288192013c1b,180f218d-2e17-4de4-bda0-6e7e889015c3,83662249-eb9a-4ec5-a749-41c60d06a1e7,Solicitud de creación de nuevo usuario,2025-07-02,2025-07-05,2025-07-07,1e98d65b-80e9-4651-984c-77b7b4d67f02,2025-07-01T00:00:00Z,carlos.ramos,2025-07-02T00:00:00Z,ana.lopez
3c04691f-c346-4b5f-9368-cdb9b684b573,3b17def2-9d28-4988-a2b2-c86262b11ce1,c129d55e-8960-4581-a5a6-f8fabe903eaf,Alerta por inconsistencia en datos maestros,2025-07-05,2025-07-08,2025-07-09,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,2025-07-03T00:00:00Z,maria.zapata,2025-07-04T00:00:00Z,maria.zapata
b2856f28-2f2f-4310-94a7-7775d48cf2ad,3b17def2-9d28-4988-a2b2-c86262b11ce1,bfeb1102-b16a-403d-9587-835f8507bb9c,Requiere validación de datos migrados,2025-07-02,2025-07-03,2025-07-05,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,2025-06-29T00:00:00Z,juan.garcia,2025-07-01T00:00:00Z,juan.garcia
2628a89c-88f3-47d7-965a-061ccc9faf2b,180f218d-2e17-4de4-bda0-6e7e889015c3,d0c913d5-1458-42e3-897a-49d94339d56b,Fallo de conectividad en VPN,2025-07-03,2025-07-04,2025-07-06,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,2025-07-01T00:00:00Z,ana.lopez,2025-07-02T00:00:00Z,carlos.ramos
4cc8f920-131c-4a15-ae42-8022aca95b9c,180f218d-2e17-4de4-bda0-6e7e889015c3,f29b515c-bdf6-42b9-803c-e7cc4859dc91,Ajuste de parámetros en entorno QA,2025-07-05,2025-07-07,2025-07-08,1e98d65b-80e9-4651-984c-77b7b4d67f02,2025-07-02T00:00:00Z,maria.zapata,2025-07-03T00:00:00Z,maria.zapata
21f545da-11bb-4717-a5a2-1ae83e732691,3b17def2-9d28-4988-a2b2-c86262b11ce1,3b44e4ca-8901-46c9-bd86-dad4a50bc41e,Problema con roles asignados,2025-07-01,2025-07-04,2025-07-05,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,2025-06-29T00:00:00Z,carlos.ramos,2025-07-01T00:00:00Z,juan.garcia
b56bf83e-8d71-4838-9cd5-187a102cf7df,3b17def2-9d28-4988-a2b2-c86262b11ce1,675891f2-fe17-48d3-947f-be469c9be20c,Revisión de logs por errores inesperados,2025-07-06,2025-07-08,2025-07-09,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,2025-07-03T00:00:00Z,ana.lopez,2025-07-05T00:00:00Z,ana.lopez
