ID,tipoRiesgo_code,descripcion,probabilidad_code,frecuencia_code,impactoCualitativo,impactoCuantitativoDolares,impactoCuantitativoDias,impactoCuantitativoEsfuerzo,estadoaccionRiesgo_code,fechaInicio,fechaFin,dueDate,fechaSeguimientoPCC,issue,createdAt,createdBy,modifiedAt,modifiedBy
e841b47f-758f-438f-83c5-f2dee0869b2a,a42c9a6a-9daa-4330-aec2-bd5c79a4eecf,"Se presentan problemas de performance en el ambiente de calidad asociados con las pruebas UAT de Rentabilidad. Se revisa la información clave para los modelos (Actuales de activos, pasivos y tarjetas de crédito) donde hay problemas.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Performance en QA,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-10,True,,,,
295ded5c-ba40-4401-86ae-ab350f2edd0e,4714181d-0c5c-4996-bff6-fa417c016316,"A nivel de las gerencias en matriz de riesgos, se adelanta de nuevo la revisión de los prerrequisitos de seguridad, los requerimientos de los equipos de seguridad y las revisiones demandadas por los equipos de tecnología, políticas y fraudes internos.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Seguridad,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-10,True,,,,
3cdedbea-dfd8-4cfd-9301-fe7dc28b9e44,4714181d-0c5c-4996-bff6-fa417c016316,"El no transmitir la totalidad de la información, del modelo de costos al de rentabilidad, generara inconsistencias. Actualmente, se presenta en las pruebas UAT.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Data Inconsistente,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-10,True,,,,
5da5d329-bc05-4b5e-b552-9ab5f31e5ab9,4714181d-0c5c-4996-bff6-fa417c016316,Se materializa las dependencias de los dominios de datos.  Se requiere completar datos e implicaría más tiempo. Corresponde a la data pendiente.,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Desviaciones de tiempo,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-10,True,,,,
f8735723-5028-4c74-8352-eea0eb53ceeb,4714181d-0c5c-4996-bff6-fa417c016316,Se materializa el riesgo de falta de disponibilidad de datos por parte del Banco que afecta las PI. Se ha hecho entrega de más del 70% de la data permitiendo retomar pruebas UAT y comprometiendo la entrega de datos de Pasivos y Activos al 11 de abril (data relevante).,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Disponibilidad de datos,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-10,True,,,,
313c5598-758f-447c-8c25-7846d4ac6f9e,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,"El procesamiento de los datos de los modelos correspondiente a los 12 meses puede incurrir en nuevos problemas de saturación de memoria. Se mitiga el riesgo con la implementación de particiones de registros para procesar, que debe probarse para un mayor número de meses.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Capacidad de almacenamiento,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-10,False,,,,
d93ff27b-7fbc-4ced-abbd-7f2f7c79fb2c,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,La operación de los modelos realizada manualmente una vez salido en productivo podrá generar dificultades en su usabilidad y sobrecarga operativa. Se recomienda resaltar la responsabilidad del equipo técnico del Banco sobre las automatizaciones requeridas.,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Sobrecarga operativa,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-10,False,,,,
79fa9216-d4f6-4aef-bc11-f7045bfec1a7,a42c9a6a-9daa-4330-aec2-bd5c79a4eecf,"Las integraciones de SCT con las soluciones SAP, no cuentan con una arquitectura clara de diseño por parte de MSG, ni con una especificación técnica definida por parte de producto, para garantizar la conectividad requerida.",1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Integracion de arquitectura,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
2c8a5a9a-c81e-46bb-bfcf-d7941c9f1cbc,1d4562f4-bdb9-4585-b68a-1f290cd53381,"El no contar con una posición final del Cliente sobre su decisión de continuidad del proyecto y no tener claridad sobre el manejo comercial frente a la situación del proyecto y acercamientos con el Cliente, no permitirá ofrecer propuestas desde SAP como oportunidades de solución que podrán ser acordadas entre las partes (GEB y MSG).",fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Gobernabilidad del proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-10,False,,,,
c823c666-6f11-45b9-8972-25112b36cdf3,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,"La verificación de la arquitectura recomendada inicialmente (BOM) frente a la arquitectura integral identificada en este proyecto, considerando las implementaciones con mejores prácticas, puede llevar a costos adicionales para el Cliente si no se contemplaron productos en el BOM y sus esfuerzos (Integraciones - uso DataSphere).",1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Arquitectiura tecnologica del proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-10,False,,,,
