ID,kickOff,incioPlaneamiento,inicioDiseno,inicioRealizacion,inicioCutOver,inicioTestIntegrados,inicioEntrenamiento,goLive,infoDetallada,createdAt,createdBy,modifiedAt,modifiedBy
2f60bc77-8ab4-4acd-84aa-310a844dca09,2025-01-01,2025-01-06,2025-01-16,2025-01-31,2025-02-15,2025-03-02,2025-03-17,2025-04-01,2025-04-06,2025-01-02T00:00:00Z,ana.lopez,2025-01-03T00:00:00Z,maria.zapata
9132233e-a6a7-4487-b1b0-f8644900329c,2025-01-16,2025-01-21,2025-01-31,2025-02-15,2025-03-02,2025-03-17,2025-04-01,2025-04-16,2025-04-21,2025-01-17T00:00:00Z,carlos.ramos,2025-01-18T00:00:00Z,carlos.ramos
5f21243b-46d8-4782-be36-eb69272021bf,2025-01-31,2025-02-05,2025-02-15,2025-03-02,2025-03-17,2025-04-01,2025-04-16,2025-05-01,2025-05-06,2025-02-01T00:00:00Z,maria.zapata,2025-02-02T00:00:00Z,ana.lopez
9e2ca9c2-70c0-4ade-8963-cbdb1709e0e6,2025-02-15,2025-02-20,2025-03-02,2025-03-17,2025-04-01,2025-04-16,2025-05-01,2025-05-16,2025-05-21,2025-02-16T00:00:00Z,maria.zapata,2025-02-17T00:00:00Z,ana.lopez
c687568e-8e47-4a75-a4a1-808e9482696b,2025-03-02,2025-03-07,2025-03-17,2025-04-01,2025-04-16,2025-05-01,2025-05-16,2025-05-31,2025-06-05,2025-03-03T00:00:00Z,juan.garcia,2025-03-04T00:00:00Z,juan.garcia
30ee0c12-dcbc-4316-9cb6-a0ba2792a294,2025-03-17,2025-03-22,2025-04-01,2025-04-16,2025-05-01,2025-05-16,2025-05-31,2025-06-15,2025-06-20,2025-03-18T00:00:00Z,ana.lopez,2025-03-19T00:00:00Z,carlos.ramos
4e1fb920-9c4c-4537-bccf-03111ec129e7,2025-04-01,2025-04-06,2025-04-16,2025-05-01,2025-05-16,2025-05-31,2025-06-15,2025-06-30,2025-07-05,2025-04-02T00:00:00Z,carlos.ramos,2025-04-03T00:00:00Z,juan.garcia
c6632772-b294-40d7-a910-63bdfa0634b7,2025-04-16,2025-04-21,2025-05-01,2025-05-16,2025-05-31,2025-06-15,2025-06-30,2025-07-15,2025-07-20,2025-04-17T00:00:00Z,ana.lopez,2025-04-18T00:00:00Z,ana.lopez
0b742af4-aff5-4710-99fc-a5ca40c67a18,2025-05-01,2025-05-06,2025-05-16,2025-05-31,2025-06-15,2025-06-30,2025-07-15,2025-07-30,2025-08-04,2025-05-02T00:00:00Z,juan.garcia,2025-05-03T00:00:00Z,maria.zapata
43be0c6f-fb75-4de7-bbc6-df6130097d4b,2025-05-16,2025-05-21,2025-05-31,2025-06-15,2025-06-30,2025-07-15,2025-07-30,2025-08-14,2025-08-19,2025-05-17T00:00:00Z,juan.garcia,2025-05-18T00:00:00Z,ana.lopez
