ID,pilar_iD,matrizRiesgos_iD,fecha,fase_iD,estado_iD,cliente_iD,descripcionFase,fechaGoLiveActual,salidaProductivo,comentariosimplementador,resumen,estadoTopicosRelevantes,gestionRecursos,aspectosClaveActivate,consideracionesRelevantes,incidenciasRelevantes,recomendaciones,otrosTemasRelacionados,createdAt,createdBy,modifiedAt,modifiedBy
85e017f9-75b7-4bd4-8f4b-3e8da6349c9a,18302ef1-7e02-45cc-9831-f4f825b82c59,e841b47f-758f-438f-83c5-f2dee0869b2a,2025-10-07,efcb3b8c-3354-47d1-ab01-0f50da080af6,3b17def2-9d28-4988-a2b2-c86262b11ce1,26e207aa-68c8-43f4-afcc-73d4c3a384a2,Fase de analisis,2025-11-11,true,Equipo tecnico solicito redefinicion de alcance,SemaSAP de cambios relevantes,"Customer Office
","Customer Office
","Customer Office
", Se acuerda entre las partes la implementacion de DataSphere incorporado dentro del nuevo contrato., Sin incidentes abiertos escalados a la Customer Office.,SAP,"Customer Office
",,,,
677069f6-4a84-4e94-a5b2-e28064d2a26a,a5e6497e-1b19-40b7-b6f6-31be04e54855,295ded5c-ba40-4401-86ae-ab350f2edd0e,2025-10-07,31ae59d7-8a59-42dd-8cd4-43dca06e7a62,180f218d-2e17-4de4-bda0-6e7e889015c3,dc2b8e65-9d4f-4f8f-a1d0-4594573fd63d,Fase de dise�o,2025-11-11,true,Retrasos leves por disponibilidad de usuarios clave,SemaSAP de coordiSAPcion operativa,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
28d7d9d5-b2eb-4419-b437-37a507a98716,b974798b-e5a8-440d-a978-f7f7a571c835,3cdedbea-dfd8-4cfd-9301-fe7dc28b9e44,2025-10-07,867390e0-8d82-4b34-af3f-02c8f083ba7f,3b17def2-9d28-4988-a2b2-c86262b11ce1,677cae53-b0ac-41c8-803f-4acaf2e40dec,Fase de configuracion,2025-11-11,true,Pruebas unitarias avanzan segun cronograma,SemaSAP tecnica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
27a20e55-7a43-4d26-b692-502f88deaec7,83662249-eb9a-4ec5-a749-41c60d06a1e7,5da5d329-bc05-4b5e-b552-9ab5f31e5ab9,2025-10-07,6c23ed16-2804-4c55-b3a7-0f4df284fb49,3b17def2-9d28-4988-a2b2-c86262b11ce1,314ed9ed-58e2-4650-826d-a32352e57b0b,Fase de capacitacion,2025-11-11,false,Se requiere mayor disponibilidad del equipo cliente,Capacitacion en curso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
9034535f-6575-4b8b-ae61-0ed293cae555,c129d55e-8960-4581-a5a6-f8fabe903eaf,f8735723-5028-4c74-8352-eea0eb53ceeb,2025-10-07,4b3a7a8b-9ccd-4fa5-a443-f7ff85aed471,180f218d-2e17-4de4-bda0-6e7e889015c3,87eb36be-e710-467b-ac7a-d44806f2cd0e,Fase de integracion,2025-11-11,true,Bloqueos por dependencias exterSAPs aun sin resolver,SemaSAP critica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
94baff60-a836-44ac-a726-042c21f3a3c0,bfeb1102-b16a-403d-9587-835f8507bb9c,313c5598-758f-447c-8c25-7846d4ac6f9e,2025-10-07,375d609c-2eb6-4967-ac5d-41e62c18ce64,180f218d-2e17-4de4-bda0-6e7e889015c3,079991c6-aef1-49b8-8565-f5721bc86929,Fase de pruebas,2025-11-11,true,Cliente ha solicitado ajustes de alcance,Demoras operativas,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
ce4be5cd-8075-4993-8207-b447d2f7e0ae,d0c913d5-1458-42e3-897a-49d94339d56b,d93ff27b-7fbc-4ced-abbd-7f2f7c79fb2c,2025-10-07,efcb3b8c-3354-47d1-ab01-0f50da080af6,3b17def2-9d28-4988-a2b2-c86262b11ce1,92d65b9c-4b9f-499e-8364-a91052f2d450,Fase de validacion,2025-11-11,true,Proveedor no entrego componentes a tiempo,SemaSAP bloqueada,SAP,SAP,SAP,SAPO, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
ecfacdcf-93b9-47e5-bbe4-7f4396176de8,f29b515c-bdf6-42b9-803c-e7cc4859dc91,79fa9216-d4f6-4aef-bc11-f7045bfec1a7,2025-10-07,31ae59d7-8a59-42dd-8cd4-43dca06e7a62,180f218d-2e17-4de4-bda0-6e7e889015c3,6b3cdbee-1444-49ad-a4c8-3c29a12e9847,Fase de pruebas E2E,2025-11-11,true,Se solucioSAPron bloqueos de red,Estabilizacion en progreso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
93ec4b6a-dcc2-465a-b4c1-bf7a519aefa6,3b44e4ca-8901-46c9-bd86-dad4a50bc41e,2c8a5a9a-c81e-46bb-bfcf-d7941c9f1cbc,2025-10-07,867390e0-8d82-4b34-af3f-02c8f083ba7f,180f218d-2e17-4de4-bda0-6e7e889015c3,83e5bf99-e082-4d1c-aa37-625d695dd24c,Fase de cut-over,2025-11-11,true,Ajustes en el sistema aprobados por cliente,Fase fiSAPl previa al Go-Live,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
7616d94d-5af7-42af-aa89-367c9779c010,675891f2-fe17-48d3-947f-be469c9be20c,c823c666-6f11-45b9-8972-25112b36cdf3,2025-10-07,6c23ed16-2804-4c55-b3a7-0f4df284fb49,3b17def2-9d28-4988-a2b2-c86262b11ce1,025cf75e-c0e0-488d-9595-b32cb92ea1d7,Fase post-GoLive,2025-11-11,true,Equipo de soporte detecto tickets criticos en sistema,Analisis postproductivo,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
