ID,responsable,estado,dueDate,createdAt,createdBy,modifiedAt,modifiedBy
e221727b-90e8-4f1c-852c-b70944afa2ff,SAP Product Support,In progress,2025-07-31,,,,
6cb85893-a33e-4cb8-9298-9b1ab0481ccc,SAP Product Support,Awaiting Info,2025-07-31,,,,
fa5953ce-d95a-4a18-8e83-ce19ef2c1a65,SAP Product Support,Resolved,2025-07-31,,,,
2b92c4bf-107a-4715-8bfb-82355b9c0764,SAP Product Support,Closed,2025-07-31,,,,
fa8f851e-d96c-4ba8-b225-13d82b0b66de,SAP Product Support,In progress,2025-08-31,,,,
78ac604f-3c09-402c-a8fb-f3648b55df37,SAP Product Support,Awaiting Info,2025-08-31,,,,
f812bf57-c9fb-4157-8030-3e35658311ca,SAP Product Support,Resolved,2025-08-31,,,,
8c8b6f30-49cb-494e-bbde-7fa48bfc17f0,SAP Product Support,Closed,2025-08-31,,,,
f210cf6d-4cd5-4d52-ad16-584e827039e1,SAP Product Support,In progress,2025-09-30,,,,
3c5abfa4-af6a-4a6f-a285-758792b40248,SAP Product Support,Awaiting Info,2025-09-30,,,,
89c80546-cbf7-46f2-9f0a-b9be8ac97890,SAP Product Support,Resolved,2025-09-30,,,,
0b16cf18-b429-458e-a9c5-82b62f495540,SAP Product Support,Closed,2025-09-30,,,,
62d5b89b-fc9f-47b0-981e-7c4727de0bdd,SAP Product Support,In progress,2025-10-31,,,,
6da88f65-a1c9-4f34-9860-b7740d8c2bcd,SAP Product Support,Awaiting Info,2025-10-31,,,,
c3d2b124-9098-4e41-8b17-d994fee0d8e5,SAP Product Support,Resolved,2025-10-31,,,,
4678ed5a-e848-4698-b1db-348bc176c278,SAP Product Support,Closed,2025-10-31,,,,
f959f93b-6aae-4f39-9c5f-053db3b3c099,SAP Product Support,In progress,2025-11-30,,,,
1a5d15d0-367a-49e1-84e6-c5cfbda732dd,SAP Product Support,Awaiting Info,2025-11-30,,,,
1a85cd66-4cb0-4d7d-a5f1-554c23e22122,SAP Product Support,Resolved,2025-11-30,,,,
c14e36a0-15fd-4cc6-922e-ded3cd042096,SAP Product Support,Closed,2025-11-30,,,,
6168c184-82f5-42e4-9bc5-39d2a33cce4d,SAP Product Support,In progress,2025-12-31,,,,
44016f82-3988-467e-94e3-ae245ce63641,SAP Product Support,Awaiting Info,2025-12-31,,,,
76e9b98d-791d-4d82-a9a0-2d44d835f8f6,SAP Product Support,Resolved,2025-12-31,,,,
d2ae40c8-efe1-4b6d-8f00-6dfcd0da7ff2,SAP Product Support,Closed,2025-12-31,,,,
