ID,resumen,link,createdAt,createdBy,modifiedAt,modifiedBy
acta-001,"Kick-off inicial del proyecto PCCP: alcance, roles y cronograma acordados",https://sico.docs/actas/ACT-0001.pdf,2025-01-15T09:30:00Z,ana.lopez,2025-01-16T11:10:00Z,maria.zapata
acta-002,"Reunión de seguimiento n.º 1: avances en fase Discover y riesgos preliminares",https://sico.docs/actas/ACT-0002.pdf,2025-02-05T14:00:00Z,maria.zapata,2025-02-05T16:45:00Z,maria.zapata
acta-003,"Comité de Crisis: incidente crítico de integración resuelto",https://sico.docs/actas/ACT-0003.pdf,2025-02-18T08:20:00Z,carlos.ortiz,2025-02-18T10:00:00Z,luisa.mendez
acta-004,"Sesión de definición de hitos: ajuste del plan y nuevas fechas Go-Live",https://sico.docs/actas/ACT-0004.pdf,2025-03-03T10:15:00Z,ana.lopez,2025-03-03T12:00:00Z,ana.lopez
acta-005,"Ceremonia Sprint Retro #4: feedback del equipo y acciones de mejora",https://sico.docs/actas/ACT-0005.pdf,2025-03-14T17:05:00Z,luisa.mendez,2025-03-17T09:00:00Z,juan.suarez
acta-006,"Revisión de riesgos: actualización matriz y asignación de dueños",https://sico.docs/actas/ACT-0006.pdf,2025-03-28T11:40:00Z,maria.zapata,2025-03-28T13:10:00Z,maria.zapata
acta-007,"Aprobación de diseño de solución SAP S/4HANA – Comité Cliente",https://sico.docs/actas/ACT-0007.pdf,2025-04-09T15:30:00Z,carlos.ortiz,2025-04-10T09:25:00Z,ana.lopez
acta-008,"Kick-off fase Realize: plan de pruebas integradas y cargas iniciales",https://sico.docs/actas/ACT-0008.pdf,2025-04-22T09:00:00Z,luisa.mendez,2025-04-22T11:50:00Z,luisa.mendez
acta-009,"Go/No-Go Meeting previo a Cut-Over: checklist y aprobación final",https://sico.docs/actas/ACT-0009.pdf,2025-05-06T13:45:00Z,ana.lopez,2025-05-06T15:00:00Z,juan.suarez
acta-010,"Post-Go-Live Support Week 1: lecciones aprendidas y plan de soporte extendido",https://sico.docs/actas/ACT-0010.pdf,2025-06-02T10:10:00Z,juan.suarez,2025-06-09T17:30:00Z,carlos.ortiz
